epoch,time,train/box_loss,train/seg_loss,train/cls_loss,train/dfl_loss,metrics/precision(B),metrics/recall(B),metrics/mAP50(B),metrics/mAP50-95(B),metrics/precision(M),metrics/recall(M),metrics/mAP50(M),metrics/mAP50-95(M),val/box_loss,val/seg_loss,val/cls_loss,val/dfl_loss,lr/pg0,lr/pg1,lr/pg2
73,41540.8,1.81068,1.41214,1.97776,1.56451,0.5612,0.43544,0.45411,0.22692,0.53601,0.42017,0.43255,0.20327,1.81474,1.41481,1.83335,1.53282,0.000869222,0.000869222,0.000869222
74,42080.9,1.81666,1.42024,1.99026,1.56548,0.5619,0.43519,0.45394,0.22728,0.53786,0.42061,0.43329,0.20391,1.81383,1.41441,1.83216,1.53186,0.000867405,0.000867405,0.000867405
75,42621.1,1.81735,1.40909,1.99935,1.56476,0.56493,0.43584,0.45502,0.22785,0.53983,0.42066,0.43392,0.20458,1.81358,1.41401,1.83082,1.53129,0.000865589,0.000865589,0.000865589
76,43161.8,1.80975,1.4119,1.98319,1.56341,0.56575,0.43691,0.45522,0.22819,0.53911,0.42049,0.43441,0.20495,1.81311,1.41348,1.82862,1.5309,0.000863773,0.000863773,0.000863773
77,43700.8,1.81542,1.41106,1.98849,1.56686,0.5667,0.4357,0.45509,0.22841,0.53899,0.42161,0.43553,0.20516,1.81234,1.41305,1.82663,1.52999,0.000861956,0.000861956,0.000861956
78,44241.1,1.81701,1.41129,1.98527,1.56676,0.56713,0.43533,0.45566,0.22875,0.5397,0.42014,0.43567,0.20552,1.81183,1.41282,1.82479,1.52969,0.00086014,0.00086014,0.00086014
79,44782.9,1.80842,1.40507,1.98134,1.55785,0.56608,0.43622,0.45624,0.22946,0.54,0.41919,0.43599,0.20556,1.81118,1.41286,1.82385,1.52904,0.000858324,0.000858324,0.000858324
80,45324.8,1.81516,1.42268,1.98077,1.56692,0.56739,0.43638,0.45741,0.22997,0.53884,0.42163,0.43731,0.20611,1.80976,1.41223,1.82183,1.5285,0.000856507,0.000856507,0.000856507
81,45864.4,1.81181,1.41592,1.96938,1.56317,0.56827,0.43642,0.45869,0.23072,0.54005,0.4212,0.43797,0.20657,1.80933,1.41172,1.82037,1.52787,0.000854691,0.000854691,0.000854691
82,46405.5,1.80518,1.3974,1.962,1.55759,0.56677,0.43718,0.45941,0.23093,0.53897,0.42123,0.43858,0.20724,1.80869,1.4108,1.81795,1.52738,0.000852875,0.000852875,0.000852875
83,46944.4,1.81065,1.40951,1.9716,1.56054,0.56828,0.43758,0.45988,0.23115,0.54311,0.42111,0.43987,0.20756,1.80757,1.41023,1.81652,1.52652,0.000851058,0.000851058,0.000851058
84,47486.9,1.80807,1.40788,1.97388,1.56231,0.56828,0.4375,0.4605,0.23136,0.54032,0.42304,0.44023,0.20749,1.80739,1.40972,1.81528,1.52612,0.000849242,0.000849242,0.000849242
85,48028,1.79962,1.40027,1.96975,1.55673,0.56937,0.43828,0.46123,0.23206,0.54273,0.42413,0.44103,0.20795,1.80673,1.40919,1.81377,1.52552,0.000847425,0.000847425,0.000847425
86,48567.2,1.80741,1.39025,1.96935,1.56118,0.56798,0.43664,0.46114,0.23214,0.53901,0.42352,0.44058,0.20797,1.80589,1.40889,1.81151,1.52514,0.000845609,0.000845609,0.000845609
87,49109.5,1.80428,1.40431,1.96834,1.55557,0.5699,0.43798,0.46208,0.23249,0.54258,0.42286,0.4417,0.20875,1.80512,1.40776,1.81038,1.52449,0.000843793,0.000843793,0.000843793
88,49651.3,1.80441,1.41137,1.95853,1.55486,0.56916,0.43972,0.46353,0.23331,0.54199,0.42416,0.44221,0.2091,1.80403,1.40677,1.80782,1.52313,0.000841976,0.000841976,0.000841976
89,50192.4,1.80344,1.4003,1.96284,1.55554,0.57222,0.43952,0.46424,0.23389,0.54413,0.42315,0.44271,0.20964,1.80318,1.40631,1.80508,1.52194,0.00084016,0.00084016,0.00084016
90,50734.9,1.8063,1.4234,1.95758,1.55753,0.57159,0.43977,0.4645,0.23441,0.54337,0.42444,0.44332,0.20997,1.8017,1.40586,1.80197,1.52143,0.000838344,0.000838344,0.000838344
91,51273.6,1.80659,1.41307,1.9618,1.55491,0.57389,0.43991,0.46519,0.23465,0.5403,0.43047,0.44458,0.21015,1.80075,1.40547,1.7999,1.52055,0.000836527,0.000836527,0.000836527
92,51814.4,1.80339,1.39826,1.95794,1.55496,0.57186,0.44222,0.46626,0.23543,0.54086,0.43103,0.4451,0.21092,1.80039,1.40487,1.79789,1.51985,0.000834711,0.000834711,0.000834711
93,52357.3,1.80661,1.41955,1.95971,1.55211,0.57155,0.44401,0.46725,0.23584,0.54025,0.43281,0.44636,0.21153,1.79976,1.40445,1.79612,1.51919,0.000832895,0.000832895,0.000832895
94,52901.7,1.8034,1.39971,1.94655,1.54794,0.56988,0.44694,0.46795,0.23649,0.5405,0.43258,0.44638,0.21188,1.80009,1.40341,1.79455,1.51835,0.000831078,0.000831078,0.000831078
95,53441.9,1.80049,1.39664,1.95322,1.55375,0.56953,0.44867,0.46869,0.23709,0.54014,0.43461,0.44705,0.21198,1.79937,1.4033,1.7917,1.5175,0.000829262,0.000829262,0.000829262
96,53978.9,1.79688,1.39568,1.95769,1.5467,0.57059,0.44964,0.46982,0.23756,0.54215,0.4353,0.44849,0.21258,1.799,1.40265,1.7889,1.51678,0.000827445,0.000827445,0.000827445
97,54518.4,1.79805,1.40855,1.9554,1.54389,0.57173,0.4517,0.47123,0.23826,0.54336,0.43492,0.44948,0.21294,1.79892,1.40238,1.78587,1.51601,0.000825629,0.000825629,0.000825629
98,55058.5,1.79809,1.4053,1.94597,1.54449,0.57172,0.45044,0.47166,0.23846,0.54383,0.43417,0.4502,0.21364,1.79849,1.40207,1.78417,1.51555,0.000823813,0.000823813,0.000823813
99,55598.1,1.80004,1.39346,1.94673,1.55063,0.57097,0.4523,0.47277,0.23898,0.54225,0.43824,0.45187,0.21413,1.79779,1.40175,1.78168,1.51475,0.000821996,0.000821996,0.000821996
100,56139.8,1.80033,1.39846,1.95595,1.54769,0.57178,0.45333,0.47353,0.23958,0.54309,0.43863,0.45289,0.21481,1.79774,1.40119,1.77975,1.51344,0.00082018,0.00082018,0.00082018
